ID; partition; Off.size.vector; Parent.size; Off.num; Cost.allowed
341; 3, 3, 3, 1, 1, 1, 1; 4, 0, 3; 13; 7; 0
342; 3, 3, 2, 2, 2, 1; 1, 3, 2; 13; 6; 0
343; 3, 3, 2, 2, 1, 1, 1; 3, 2, 2; 13; 7; 0
344; 3, 3, 2, 1, 1, 1, 1, 1; 5, 1, 2; 13; 8; 0
345; 3, 3, 1, 1, 1, 1, 1, 1, 1; 7, 0, 2; 13; 9; 0
346; 3, 2, 2, 2, 2, 2; 0, 5, 1; 13; 6; 1
347; 3, 2, 2, 2, 2, 1, 1; 2, 4, 1; 13; 7; 0
348; 3, 2, 2, 2, 1, 1, 1, 1; 4, 3, 1; 13; 8; 0
349; 3, 2, 2, 1, 1, 1, 1, 1, 1; 6, 2, 1; 13; 9; 0
350; 3, 2, 1, 1, 1, 1, 1, 1, 1, 1; 8, 1, 1; 13; 10; 0
351; 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 10, 0, 1; 13; 11; 0
352; 2, 2, 2, 2, 2, 2, 1; 1, 6; 13; 7; 1
353; 2, 2, 2, 2, 2, 1, 1, 1; 3, 5; 13; 8; 0
354; 2, 2, 2, 2, 1, 1, 1, 1, 1; 5, 4; 13; 9; 0
355; 2, 2, 2, 1, 1, 1, 1, 1, 1, 1; 7, 3; 13; 10; 0
356; 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 2; 13; 11; 0
357; 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 11, 1; 13; 12; 0
358; 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 13, 0; 13; 13; 1
359; 13, 1; 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 14; 2; 1
360; 12, 2; 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 14; 2; 1
361; 12, 1, 1; 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 14; 3; 1
362; 11, 3; 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1; 14; 2; 1
363; 11, 2, 1; 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1; 14; 3; 1
364; 11, 1, 1, 1; 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 14; 4; 1
365; 10, 4; 0, 0, 0, 1, 0, 0, 0, 0, 0, 1; 14; 2; 1
366; 10, 3, 1; 1, 0, 1, 0, 0, 0, 0, 0, 0, 1; 14; 3; 1
367; 10, 2, 2; 0, 2, 0, 0, 0, 0, 0, 0, 0, 1; 14; 3; 1
368; 10, 2, 1, 1; 2, 1, 0, 0, 0, 0, 0, 0, 0, 1; 14; 4; 0
369; 10, 1, 1, 1, 1; 4, 0, 0, 0, 0, 0, 0, 0, 0, 1; 14; 5; 1
370; 9, 5; 0, 0, 0, 0, 1, 0, 0, 0, 1; 14; 2; 1
371; 9, 4, 1; 1, 0, 0, 1, 0, 0, 0, 0, 1; 14; 3; 1
372; 9, 3, 2; 0, 1, 1, 0, 0, 0, 0, 0, 1; 14; 3; 1
373; 9, 3, 1, 1; 2, 0, 1, 0, 0, 0, 0, 0, 1; 14; 4; 1
374; 9, 2, 2, 1; 1, 2, 0, 0, 0, 0, 0, 0, 1; 14; 4; 1
375; 9, 2, 1, 1, 1; 3, 1, 0, 0, 0, 0, 0, 0, 1; 14; 5; 0
376; 9, 1, 1, 1, 1, 1; 5, 0, 0, 0, 0, 0, 0, 0, 1; 14; 6; 1
377; 8, 6; 0, 0, 0, 0, 0, 1, 0, 1; 14; 2; 1
378; 8, 5, 1; 1, 0, 0, 0, 1, 0, 0, 1; 14; 3; 1
379; 8, 4, 2; 0, 1, 0, 1, 0, 0, 0, 1; 14; 3; 1
380; 8, 4, 1, 1; 2, 0, 0, 1, 0, 0, 0, 1; 14; 4; 1
381; 8, 3, 3; 0, 0, 2, 0, 0, 0, 0, 1; 14; 3; 1
382; 8, 3, 2, 1; 1, 1, 1, 0, 0, 0, 0, 1; 14; 4; 0
383; 8, 3, 1, 1, 1; 3, 0, 1, 0, 0, 0, 0, 1; 14; 5; 0
384; 8, 2, 2, 2; 0, 3, 0, 0, 0, 0, 0, 1; 14; 4; 1
385; 8, 2, 2, 1, 1; 2, 2, 0, 0, 0, 0, 0, 1; 14; 5; 0
386; 8, 2, 1, 1, 1, 1; 4, 1, 0, 0, 0, 0, 0, 1; 14; 6; 0
387; 8, 1, 1, 1, 1, 1, 1; 6, 0, 0, 0, 0, 0, 0, 1; 14; 7; 1
388; 7, 7; 0, 0, 0, 0, 0, 0, 2; 14; 2; 1
389; 7, 6, 1; 1, 0, 0, 0, 0, 1, 1; 14; 3; 0
390; 7, 5, 2; 0, 1, 0, 0, 1, 0, 1; 14; 3; 0
391; 7, 5, 1, 1; 2, 0, 0, 0, 1, 0, 1; 14; 4; 0
392; 7, 4, 3; 0, 0, 1, 1, 0, 0, 1; 14; 3; 0
393; 7, 4, 2, 1; 1, 1, 0, 1, 0, 0, 1; 14; 4; 0
394; 7, 4, 1, 1, 1; 3, 0, 0, 1, 0, 0, 1; 14; 5; 0
395; 7, 3, 3, 1; 1, 0, 2, 0, 0, 0, 1; 14; 4; 0
396; 7, 3, 2, 2; 0, 2, 1, 0, 0, 0, 1; 14; 4; 0
397; 7, 3, 2, 1, 1; 2, 1, 1, 0, 0, 0, 1; 14; 5; 0
398; 7, 3, 1, 1, 1, 1; 4, 0, 1, 0, 0, 0, 1; 14; 6; 0
399; 7, 2, 2, 2, 1; 1, 3, 0, 0, 0, 0, 1; 14; 5; 0
400; 7, 2, 2, 1, 1, 1; 3, 2, 0, 0, 0, 0, 1; 14; 6; 0
401; 7, 2, 1, 1, 1, 1, 1; 5, 1, 0, 0, 0, 0, 1; 14; 7; 0
402; 7, 1, 1, 1, 1, 1, 1, 1; 7, 0, 0, 0, 0, 0, 1; 14; 8; 0
403; 6, 6, 2; 0, 1, 0, 0, 0, 2; 14; 3; 1
404; 6, 6, 1, 1; 2, 0, 0, 0, 0, 2; 14; 4; 1
405; 6, 5, 3; 0, 0, 1, 0, 1, 1; 14; 3; 1
406; 6, 5, 2, 1; 1, 1, 0, 0, 1, 1; 14; 4; 0
407; 6, 5, 1, 1, 1; 3, 0, 0, 0, 1, 1; 14; 5; 0
408; 6, 4, 4; 0, 0, 0, 2, 0, 1; 14; 3; 1
409; 6, 4, 3, 1; 1, 0, 1, 1, 0, 1; 14; 4; 0
410; 6, 4, 2, 2; 0, 2, 0, 1, 0, 1; 14; 4; 0
411; 6, 4, 2, 1, 1; 2, 1, 0, 1, 0, 1; 14; 5; 0
412; 6, 4, 1, 1, 1, 1; 4, 0, 0, 1, 0, 1; 14; 6; 0
413; 6, 3, 3, 2; 0, 1, 2, 0, 0, 1; 14; 4; 0
414; 6, 3, 3, 1, 1; 2, 0, 2, 0, 0, 1; 14; 5; 0
415; 6, 3, 2, 2, 1; 1, 2, 1, 0, 0, 1; 14; 5; 0
416; 6, 3, 2, 1, 1, 1; 3, 1, 1, 0, 0, 1; 14; 6; 0
417; 6, 3, 1, 1, 1, 1, 1; 5, 0, 1, 0, 0, 1; 14; 7; 0
418; 6, 2, 2, 2, 2; 0, 4, 0, 0, 0, 1; 14; 5; 0
419; 6, 2, 2, 2, 1, 1; 2, 3, 0, 0, 0, 1; 14; 6; 0
420; 6, 2, 2, 1, 1, 1, 1; 4, 2, 0, 0, 0, 1; 14; 7; 0
421; 6, 2, 1, 1, 1, 1, 1, 1; 6, 1, 0, 0, 0, 1; 14; 8; 0
422; 6, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 0, 0, 0, 1; 14; 9; 0
423; 5, 5, 4; 0, 0, 0, 1, 2; 14; 3; 1
424; 5, 5, 3, 1; 1, 0, 1, 0, 2; 14; 4; 1
425; 5, 5, 2, 2; 0, 2, 0, 0, 2; 14; 4; 1
426; 5, 5, 2, 1, 1; 2, 1, 0, 0, 2; 14; 5; 0
427; 5, 5, 1, 1, 1, 1; 4, 0, 0, 0, 2; 14; 6; 1
428; 5, 4, 4, 1; 1, 0, 0, 2, 1; 14; 4; 0
429; 5, 4, 3, 2; 0, 1, 1, 1, 1; 14; 4; 0
430; 5, 4, 3, 1, 1; 2, 0, 1, 1, 1; 14; 5; 0
431; 5, 4, 2, 2, 1; 1, 2, 0, 1, 1; 14; 5; 0
432; 5, 4, 2, 1, 1, 1; 3, 1, 0, 1, 1; 14; 6; 0
433; 5, 4, 1, 1, 1, 1, 1; 5, 0, 0, 1, 1; 14; 7; 0
434; 5, 3, 3, 3; 0, 0, 3, 0, 1; 14; 4; 1
435; 5, 3, 3, 2, 1; 1, 1, 2, 0, 1; 14; 5; 0
436; 5, 3, 3, 1, 1, 1; 3, 0, 2, 0, 1; 14; 6; 0
437; 5, 3, 2, 2, 2; 0, 3, 1, 0, 1; 14; 5; 0
438; 5, 3, 2, 2, 1, 1; 2, 2, 1, 0, 1; 14; 6; 0
439; 5, 3, 2, 1, 1, 1, 1; 4, 1, 1, 0, 1; 14; 7; 0
440; 5, 3, 1, 1, 1, 1, 1, 1; 6, 0, 1, 0, 1; 14; 8; 0
441; 5, 2, 2, 2, 2, 1; 1, 4, 0, 0, 1; 14; 6; 0
442; 5, 2, 2, 2, 1, 1, 1; 3, 3, 0, 0, 1; 14; 7; 0
443; 5, 2, 2, 1, 1, 1, 1, 1; 5, 2, 0, 0, 1; 14; 8; 0
444; 5, 2, 1, 1, 1, 1, 1, 1, 1; 7, 1, 0, 0, 1; 14; 9; 0
445; 5, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 0, 0, 0, 1; 14; 10; 0
446; 4, 4, 4, 2; 0, 1, 0, 3; 14; 4; 1
447; 4, 4, 4, 1, 1; 2, 0, 0, 3; 14; 5; 1
448; 4, 4, 3, 3; 0, 0, 2, 2; 14; 4; 1
449; 4, 4, 3, 2, 1; 1, 1, 1, 2; 14; 5; 0
450; 4, 4, 3, 1, 1, 1; 3, 0, 1, 2; 14; 6; 0
451; 4, 4, 2, 2, 2; 0, 3, 0, 2; 14; 5; 0
452; 4, 4, 2, 2, 1, 1; 2, 2, 0, 2; 14; 6; 0
453; 4, 4, 2, 1, 1, 1, 1; 4, 1, 0, 2; 14; 7; 0
454; 4, 4, 1, 1, 1, 1, 1, 1; 6, 0, 0, 2; 14; 8; 0
455; 4, 3, 3, 3, 1; 1, 0, 3, 1; 14; 5; 0
456; 4, 3, 3, 2, 2; 0, 2, 2, 1; 14; 5; 0
457; 4, 3, 3, 2, 1, 1; 2, 1, 2, 1; 14; 6; 0
458; 4, 3, 3, 1, 1, 1, 1; 4, 0, 2, 1; 14; 7; 0
459; 4, 3, 2, 2, 2, 1; 1, 3, 1, 1; 14; 6; 0
460; 4, 3, 2, 2, 1, 1, 1; 3, 2, 1, 1; 14; 7; 0
461; 4, 3, 2, 1, 1, 1, 1, 1; 5, 1, 1, 1; 14; 8; 0
462; 4, 3, 1, 1, 1, 1, 1, 1, 1; 7, 0, 1, 1; 14; 9; 0
463; 4, 2, 2, 2, 2, 2; 0, 5, 0, 1; 14; 6; 0
464; 4, 2, 2, 2, 2, 1, 1; 2, 4, 0, 1; 14; 7; 0
465; 4, 2, 2, 2, 1, 1, 1, 1; 4, 3, 0, 1; 14; 8; 0
466; 4, 2, 2, 1, 1, 1, 1, 1, 1; 6, 2, 0, 1; 14; 9; 0
467; 4, 2, 1, 1, 1, 1, 1, 1, 1, 1; 8, 1, 0, 1; 14; 10; 0
468; 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 10, 0, 0, 1; 14; 11; 0
469; 3, 3, 3, 3, 2; 0, 1, 4; 14; 5; 1
470; 3, 3, 3, 3, 1, 1; 2, 0, 4; 14; 6; 1
471; 3, 3, 3, 2, 2, 1; 1, 2, 3; 14; 6; 0
472; 3, 3, 3, 2, 1, 1, 1; 3, 1, 3; 14; 7; 0
473; 3, 3, 3, 1, 1, 1, 1, 1; 5, 0, 3; 14; 8; 0
474; 3, 3, 2, 2, 2, 2; 0, 4, 2; 14; 6; 0
475; 3, 3, 2, 2, 2, 1, 1; 2, 3, 2; 14; 7; 0
476; 3, 3, 2, 2, 1, 1, 1, 1; 4, 2, 2; 14; 8; 0
477; 3, 3, 2, 1, 1, 1, 1, 1, 1; 6, 1, 2; 14; 9; 0
478; 3, 3, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 2; 14; 10; 0
479; 3, 2, 2, 2, 2, 2, 1; 1, 5, 1; 14; 7; 0
480; 3, 2, 2, 2, 2, 1, 1, 1; 3, 4, 1; 14; 8; 0
481; 3, 2, 2, 2, 1, 1, 1, 1, 1; 5, 3, 1; 14; 9; 0
482; 3, 2, 2, 1, 1, 1, 1, 1, 1, 1; 7, 2, 1; 14; 10; 0
483; 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 1, 1; 14; 11; 0
484; 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 11, 0, 1; 14; 12; 0
485; 2, 2, 2, 2, 2, 2, 2; 0, 7; 14; 7; 1
486; 2, 2, 2, 2, 2, 2, 1, 1; 2, 6; 14; 8; 0
487; 2, 2, 2, 2, 2, 1, 1, 1, 1; 4, 5; 14; 9; 0
488; 2, 2, 2, 2, 1, 1, 1, 1, 1, 1; 6, 4; 14; 10; 0
489; 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1; 8, 3; 14; 11; 0
490; 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 10, 2; 14; 12; 0
491; 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 12, 1; 14; 13; 0
492; 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 14, 0; 14; 14; 1
493; 14, 1; 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 2; 1
494; 13, 2; 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 2; 1
495; 13, 1, 1; 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 3; 1
496; 12, 3; 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 2; 1
497; 12, 2, 1; 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 3; 1
498; 12, 1, 1, 1; 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 4; 1
499; 11, 4; 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1; 15; 2; 1
500; 11, 3, 1; 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1; 15; 3; 1
501; 11, 2, 2; 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 3; 1
502; 11, 2, 1, 1; 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 4; 0
503; 11, 1, 1, 1, 1; 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 5; 1
504; 10, 5; 0, 0, 0, 0, 1, 0, 0, 0, 0, 1; 15; 2; 1
505; 10, 4, 1; 1, 0, 0, 1, 0, 0, 0, 0, 0, 1; 15; 3; 1
506; 10, 3, 2; 0, 1, 1, 0, 0, 0, 0, 0, 0, 1; 15; 3; 1
507; 10, 3, 1, 1; 2, 0, 1, 0, 0, 0, 0, 0, 0, 1; 15; 4; 1
508; 10, 2, 2, 1; 1, 2, 0, 0, 0, 0, 0, 0, 0, 1; 15; 4; 1
509; 10, 2, 1, 1, 1; 3, 1, 0, 0, 0, 0, 0, 0, 0, 1; 15; 5; 0
510; 10, 1, 1, 1, 1, 1; 5, 0, 0, 0, 0, 0, 0, 0, 0, 1; 15; 6; 1
511; 9, 6; 0, 0, 0, 0, 0, 1, 0, 0, 1; 15; 2; 1
512; 9, 5, 1; 1, 0, 0, 0, 1, 0, 0, 0, 1; 15; 3; 1
513; 9, 4, 2; 0, 1, 0, 1, 0, 0, 0, 0, 1; 15; 3; 1
514; 9, 4, 1, 1; 2, 0, 0, 1, 0, 0, 0, 0, 1; 15; 4; 1
515; 9, 3, 3; 0, 0, 2, 0, 0, 0, 0, 0, 1; 15; 3; 1
516; 9, 3, 2, 1; 1, 1, 1, 0, 0, 0, 0, 0, 1; 15; 4; 0
517; 9, 3, 1, 1, 1; 3, 0, 1, 0, 0, 0, 0, 0, 1; 15; 5; 0
518; 9, 2, 2, 2; 0, 3, 0, 0, 0, 0, 0, 0, 1; 15; 4; 1
519; 9, 2, 2, 1, 1; 2, 2, 0, 0, 0, 0, 0, 0, 1; 15; 5; 0
520; 9, 2, 1, 1, 1, 1; 4, 1, 0, 0, 0, 0, 0, 0, 1; 15; 6; 0
521; 9, 1, 1, 1, 1, 1, 1; 6, 0, 0, 0, 0, 0, 0, 0, 1; 15; 7; 1
522; 8, 7; 0, 0, 0, 0, 0, 0, 1, 1; 15; 2; 1
523; 8, 6, 1; 1, 0, 0, 0, 0, 1, 0, 1; 15; 3; 1
524; 8, 5, 2; 0, 1, 0, 0, 1, 0, 0, 1; 15; 3; 1
525; 8, 5, 1, 1; 2, 0, 0, 0, 1, 0, 0, 1; 15; 4; 1
526; 8, 4, 3; 0, 0, 1, 1, 0, 0, 0, 1; 15; 3; 1
527; 8, 4, 2, 1; 1, 1, 0, 1, 0, 0, 0, 1; 15; 4; 1
528; 8, 4, 1, 1, 1; 3, 0, 0, 1, 0, 0, 0, 1; 15; 5; 1
529; 8, 3, 3, 1; 1, 0, 2, 0, 0, 0, 0, 1; 15; 4; 1
530; 8, 3, 2, 2; 0, 2, 1, 0, 0, 0, 0, 1; 15; 4; 1
531; 8, 3, 2, 1, 1; 2, 1, 1, 0, 0, 0, 0, 1; 15; 5; 0
532; 8, 3, 1, 1, 1, 1; 4, 0, 1, 0, 0, 0, 0, 1; 15; 6; 0
533; 8, 2, 2, 2, 1; 1, 3, 0, 0, 0, 0, 0, 1; 15; 5; 1
534; 8, 2, 2, 1, 1, 1; 3, 2, 0, 0, 0, 0, 0, 1; 15; 6; 0
535; 8, 2, 1, 1, 1, 1, 1; 5, 1, 0, 0, 0, 0, 0, 1; 15; 7; 0
536; 8, 1, 1, 1, 1, 1, 1, 1; 7, 0, 0, 0, 0, 0, 0, 1; 15; 8; 1
537; 7, 7, 1; 1, 0, 0, 0, 0, 0, 2; 15; 3; 1
538; 7, 6, 2; 0, 1, 0, 0, 0, 1, 1; 15; 3; 1
539; 7, 6, 1, 1; 2, 0, 0, 0, 0, 1, 1; 15; 4; 0
540; 7, 5, 3; 0, 0, 1, 0, 1, 0, 1; 15; 3; 1
541; 7, 5, 2, 1; 1, 1, 0, 0, 1, 0, 1; 15; 4; 0
542; 7, 5, 1, 1, 1; 3, 0, 0, 0, 1, 0, 1; 15; 5; 0
543; 7, 4, 4; 0, 0, 0, 2, 0, 0, 1; 15; 3; 1
544; 7, 4, 3, 1; 1, 0, 1, 1, 0, 0, 1; 15; 4; 0
545; 7, 4, 2, 2; 0, 2, 0, 1, 0, 0, 1; 15; 4; 0
546; 7, 4, 2, 1, 1; 2, 1, 0, 1, 0, 0, 1; 15; 5; 0
547; 7, 4, 1, 1, 1, 1; 4, 0, 0, 1, 0, 0, 1; 15; 6; 0
548; 7, 3, 3, 2; 0, 1, 2, 0, 0, 0, 1; 15; 4; 1
549; 7, 3, 3, 1, 1; 2, 0, 2, 0, 0, 0, 1; 15; 5; 0
550; 7, 3, 2, 2, 1; 1, 2, 1, 0, 0, 0, 1; 15; 5; 0
551; 7, 3, 2, 1, 1, 1; 3, 1, 1, 0, 0, 0, 1; 15; 6; 0
552; 7, 3, 1, 1, 1, 1, 1; 5, 0, 1, 0, 0, 0, 1; 15; 7; 0
553; 7, 2, 2, 2, 2; 0, 4, 0, 0, 0, 0, 1; 15; 5; 1
554; 7, 2, 2, 2, 1, 1; 2, 3, 0, 0, 0, 0, 1; 15; 6; 0
555; 7, 2, 2, 1, 1, 1, 1; 4, 2, 0, 0, 0, 0, 1; 15; 7; 0
556; 7, 2, 1, 1, 1, 1, 1, 1; 6, 1, 0, 0, 0, 0, 1; 15; 8; 0
557; 7, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 0, 0, 0, 0, 1; 15; 9; 0
558; 6, 6, 3; 0, 0, 1, 0, 0, 2; 15; 3; 1
559; 6, 6, 2, 1; 1, 1, 0, 0, 0, 2; 15; 4; 1
560; 6, 6, 1, 1, 1; 3, 0, 0, 0, 0, 2; 15; 5; 1
561; 6, 5, 4; 0, 0, 0, 1, 1, 1; 15; 3; 1
562; 6, 5, 3, 1; 1, 0, 1, 0, 1, 1; 15; 4; 0
563; 6, 5, 2, 2; 0, 2, 0, 0, 1, 1; 15; 4; 1
564; 6, 5, 2, 1, 1; 2, 1, 0, 0, 1, 1; 15; 5; 0
565; 6, 5, 1, 1, 1, 1; 4, 0, 0, 0, 1, 1; 15; 6; 0
566; 6, 4, 4, 1; 1, 0, 0, 2, 0, 1; 15; 4; 1
567; 6, 4, 3, 2; 0, 1, 1, 1, 0, 1; 15; 4; 0
568; 6, 4, 3, 1, 1; 2, 0, 1, 1, 0, 1; 15; 5; 0
569; 6, 4, 2, 2, 1; 1, 2, 0, 1, 0, 1; 15; 5; 0
570; 6, 4, 2, 1, 1, 1; 3, 1, 0, 1, 0, 1; 15; 6; 0
571; 6, 4, 1, 1, 1, 1, 1; 5, 0, 0, 1, 0, 1; 15; 7; 0
572; 6, 3, 3, 3; 0, 0, 3, 0, 0, 1; 15; 4; 0
573; 6, 3, 3, 2, 1; 1, 1, 2, 0, 0, 1; 15; 5; 0
574; 6, 3, 3, 1, 1, 1; 3, 0, 2, 0, 0, 1; 15; 6; 0
575; 6, 3, 2, 2, 2; 0, 3, 1, 0, 0, 1; 15; 5; 0
576; 6, 3, 2, 2, 1, 1; 2, 2, 1, 0, 0, 1; 15; 6; 0
577; 6, 3, 2, 1, 1, 1, 1; 4, 1, 1, 0, 0, 1; 15; 7; 0
578; 6, 3, 1, 1, 1, 1, 1, 1; 6, 0, 1, 0, 0, 1; 15; 8; 0
579; 6, 2, 2, 2, 2, 1; 1, 4, 0, 0, 0, 1; 15; 6; 0
580; 6, 2, 2, 2, 1, 1, 1; 3, 3, 0, 0, 0, 1; 15; 7; 0
581; 6, 2, 2, 1, 1, 1, 1, 1; 5, 2, 0, 0, 0, 1; 15; 8; 0
582; 6, 2, 1, 1, 1, 1, 1, 1, 1; 7, 1, 0, 0, 0, 1; 15; 9; 0
583; 6, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 0, 0, 0, 0, 1; 15; 10; 0
584; 5, 5, 5; 0, 0, 0, 0, 3; 15; 3; 1
585; 5, 5, 4, 1; 1, 0, 0, 1, 2; 15; 4; 0
586; 5, 5, 3, 2; 0, 1, 1, 0, 2; 15; 4; 0
587; 5, 5, 3, 1, 1; 2, 0, 1, 0, 2; 15; 5; 0
588; 5, 5, 2, 2, 1; 1, 2, 0, 0, 2; 15; 5; 0
589; 5, 5, 2, 1, 1, 1; 3, 1, 0, 0, 2; 15; 6; 0
590; 5, 5, 1, 1, 1, 1, 1; 5, 0, 0, 0, 2; 15; 7; 0
591; 5, 4, 4, 2; 0, 1, 0, 2, 1; 15; 4; 1
592; 5, 4, 4, 1, 1; 2, 0, 0, 2, 1; 15; 5; 0
593; 5, 4, 3, 3; 0, 0, 2, 1, 1; 15; 4; 1
594; 5, 4, 3, 2, 1; 1, 1, 1, 1, 1; 15; 5; 0
595; 5, 4, 3, 1, 1, 1; 3, 0, 1, 1, 1; 15; 6; 0
596; 5, 4, 2, 2, 2; 0, 3, 0, 1, 1; 15; 5; 0
597; 5, 4, 2, 2, 1, 1; 2, 2, 0, 1, 1; 15; 6; 0
598; 5, 4, 2, 1, 1, 1, 1; 4, 1, 0, 1, 1; 15; 7; 0
599; 5, 4, 1, 1, 1, 1, 1, 1; 6, 0, 0, 1, 1; 15; 8; 0
600; 5, 3, 3, 3, 1; 1, 0, 3, 0, 1; 15; 5; 0
601; 5, 3, 3, 2, 2; 0, 2, 2, 0, 1; 15; 5; 0
602; 5, 3, 3, 2, 1, 1; 2, 1, 2, 0, 1; 15; 6; 0
603; 5, 3, 3, 1, 1, 1, 1; 4, 0, 2, 0, 1; 15; 7; 0
604; 5, 3, 2, 2, 2, 1; 1, 3, 1, 0, 1; 15; 6; 0
605; 5, 3, 2, 2, 1, 1, 1; 3, 2, 1, 0, 1; 15; 7; 0
606; 5, 3, 2, 1, 1, 1, 1, 1; 5, 1, 1, 0, 1; 15; 8; 0
607; 5, 3, 1, 1, 1, 1, 1, 1, 1; 7, 0, 1, 0, 1; 15; 9; 0
608; 5, 2, 2, 2, 2, 2; 0, 5, 0, 0, 1; 15; 6; 1
609; 5, 2, 2, 2, 2, 1, 1; 2, 4, 0, 0, 1; 15; 7; 0
610; 5, 2, 2, 2, 1, 1, 1, 1; 4, 3, 0, 0, 1; 15; 8; 0
611; 5, 2, 2, 1, 1, 1, 1, 1, 1; 6, 2, 0, 0, 1; 15; 9; 0
612; 5, 2, 1, 1, 1, 1, 1, 1, 1, 1; 8, 1, 0, 0, 1; 15; 10; 0
613; 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 10, 0, 0, 0, 1; 15; 11; 0
614; 4, 4, 4, 3; 0, 0, 1, 3; 15; 4; 1
615; 4, 4, 4, 2, 1; 1, 1, 0, 3; 15; 5; 1
616; 4, 4, 4, 1, 1, 1; 3, 0, 0, 3; 15; 6; 1
617; 4, 4, 3, 3, 1; 1, 0, 2, 2; 15; 5; 0
618; 4, 4, 3, 2, 2; 0, 2, 1, 2; 15; 5; 0
619; 4, 4, 3, 2, 1, 1; 2, 1, 1, 2; 15; 6; 0
620; 4, 4, 3, 1, 1, 1, 1; 4, 0, 1, 2; 15; 7; 0
621; 4, 4, 2, 2, 2, 1; 1, 3, 0, 2; 15; 6; 0
622; 4, 4, 2, 2, 1, 1, 1; 3, 2, 0, 2; 15; 7; 0
623; 4, 4, 2, 1, 1, 1, 1, 1; 5, 1, 0, 2; 15; 8; 0
624; 4, 4, 1, 1, 1, 1, 1, 1, 1; 7, 0, 0, 2; 15; 9; 0
625; 4, 3, 3, 3, 2; 0, 1, 3, 1; 15; 5; 0
626; 4, 3, 3, 3, 1, 1; 2, 0, 3, 1; 15; 6; 0
627; 4, 3, 3, 2, 2, 1; 1, 2, 2, 1; 15; 6; 0
628; 4, 3, 3, 2, 1, 1, 1; 3, 1, 2, 1; 15; 7; 0
629; 4, 3, 3, 1, 1, 1, 1, 1; 5, 0, 2, 1; 15; 8; 0
630; 4, 3, 2, 2, 2, 2; 0, 4, 1, 1; 15; 6; 0
631; 4, 3, 2, 2, 2, 1, 1; 2, 3, 1, 1; 15; 7; 0
632; 4, 3, 2, 2, 1, 1, 1, 1; 4, 2, 1, 1; 15; 8; 0
633; 4, 3, 2, 1, 1, 1, 1, 1, 1; 6, 1, 1, 1; 15; 9; 0
634; 4, 3, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 1, 1; 15; 10; 0
635; 4, 2, 2, 2, 2, 2, 1; 1, 5, 0, 1; 15; 7; 0
636; 4, 2, 2, 2, 2, 1, 1, 1; 3, 4, 0, 1; 15; 8; 0
637; 4, 2, 2, 2, 1, 1, 1, 1, 1; 5, 3, 0, 1; 15; 9; 0
638; 4, 2, 2, 1, 1, 1, 1, 1, 1, 1; 7, 2, 0, 1; 15; 10; 0
639; 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 1, 0, 1; 15; 11; 0
640; 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 11, 0, 0, 1; 15; 12; 0
641; 3, 3, 3, 3, 3; 0, 0, 5; 15; 5; 1
