Run, Group_size, b_1, d_1, K_1_1, T_0, T_1, T_2, T_3, T_4, T_5, T_6, T_7, T_8, T_9, T_10, T_11, T_12, T_13, T_14, T_15, T_16, T_17, T_18, T_19, T_20, T_21, T_22, T_23, T_24, T_25, T_26, T_27, T_28, T_29, T_30, T_31, T_32, T_33, T_34, T_35, T_36, T_37, T_38, T_39, T_40, T_41, T_42, T_43, T_44, T_45, T_46, T_47, T_48, T_49, T_50, T_51, T_52, T_53, T_54, T_55, T_56, T_57, T_58, T_59, T_60, T_61, T_62, T_63, T_64, T_65, T_66, T_67, T_68, T_69, T_70, T_71, T_72, T_73, T_74, T_75, T_76, T_77, T_78, T_79, T_80, T_81, T_82, T_83, T_84, T_85, T_86, T_87, T_88, T_89, T_90, T_91, T_92, T_93, T_94, T_95, T_96, T_97, T_98, T_99, dummy
64, 1, 1, 0, 1.0, 1.044742722316641, 1.0403130806757803, 1.0363351177885813, 1.0327618935943153, 1.0295517589869594, 1.026666318792743, 1.0240704317701468, 1.0217322106099034, 1.019623466581272, 1.0177219672819706, 1.0160078640464008, 1.0144626416643412, 1.0130691922595334, 1.0118118152896798, 1.0106762170602608, 1.0096498089488846, 1.008722531895869, 1.0078853126117162, 1.007129614791981, 1.0064474391172709, 1.0058313232532445, 1.0052743418506145, 1.0047701350327387, 1.004313599094326, 1.0039007041599468, 1.0035276363083145, 1.003190762526599, 1.0028866307104272, 1.0026119696638827, 1.0023636890995062, 1.002138879638296, 1.0019348878755212, 1.0017498896882768, 1.001582423993881, 1.00143106743244, 1.0012944393944168, 1.0011712020206311, 1.0010600602022597, 1.0009597615808354, 1.0008690965482492, 1.0007868982467472, 1.0007120623844514, 1.0006439313933955, 1.0005820978751987, 1.0005261325892052, 1.0004756059263866, 1.0004300879093435, 1.0003891481923033, 1.000352356061122, 1.0003192804332834, 1.0002894898578993, 1.0002625525157092, 1.0002380362190806, 1.0002155142033113, 1.0001948188001006, 1.0001759249376392, 1.0001587560381577, 1.00014322802598, 1.0001292493275222, 1.0001167208712929, 1.0001055360878937, 1.000095580910019, 1.0000867337724555, 1.0000788656120827, 1.000071839867873, 1.0000655124808913, 1.000059731894295, 1.0000543390533343, 1.0000491940848728, 1.0000443702560649, 1.0000399046552844, 1.0000358058084566, 1.000032077396209, 1.0000287182538705, 1.0000257223714724, 1.000023078893747, 1.0000207721201293, 1.000018781504756, 1.000017081656466, 1.000015642338799, 1.0000144284699974, 1.0000134001230059, 1.00001251252547, 1.0000117160597377, 1.000010956262859, 1.0000101738265854, 1.0000093046412912, 1.0000084156127602, 1.0000076066694037, 1.00000687304921, 1.0000062098873617, 1.0000056122162349, 1.0000050749654, 1.0000045929616213, 1.0000041609288575, 1.0000037734882607, 1.000003425158177, 1.0000031103541474, 1.0000028233889056, 1.0000025584723802, -1
65, 1, 1, 0, 1.0, 1.2681939269972946, 1.2366301109017734, 1.2093933249474031, 1.1857707516950589, 1.1651763822893568, 1.1471430658004664, 1.131301806723369, 1.1173428809943686, 1.1050045290628958, 1.0940701528862757, 1.0843625948732034, 1.0757282359517453, 1.0680330375791627, 1.061162240127828, 1.0550202205993733, 1.04952513804158, 1.0446034245808662, 1.0401896143952842, 1.0362262936282503, 1.0326649929590577, 1.0294643417869975, 1.02658652375037, 1.023997097355584, 1.0216649959771582, 1.0195626113078282, 1.0176669841284611, 1.0159582390377486, 1.0144179164481308, 1.0130289405101605, 1.0117756191125018, 1.0106436438721809, 1.009620449342108, 1.0086960321051854, 1.00786136318551, 1.0071079479381098, 1.006427826048945, 1.0058135715349072, 1.0052582927438196, 1.0047556536407116, 1.004300520781169, 1.003888875825659, 1.003516926229656, 1.0031810583860288, 1.0028778376250405, 1.002604008214348, 1.0023564933590021, 1.002132395201448, 1.0019290566492889, 1.0017446312351599, 1.0015776687855036, 1.0014267562041221, 1.0012905225527535, 1.0011676390510726, 1.0010568190766915, 1.000956818165158, 1.0008664340099576, 1.0007845064625118, 1.0007099306590626, 1.0006420215038094, 1.0005803774466313, 1.0005245740450917, 1.0004741863342135, 1.0004287888264796, 1.0003879555118318, 1.0003512598576723, 1.0003182748088617, 1.000288572787721, 1.0002617256940305, 1.0002373049050297, 1.0002148834895692, 1.0001942662209296, 1.0001754356117982, 1.0001583170711874, 1.0001428285139589, 1.0001288803608246, 1.0001163755383462, 1.000105209478935, 1.0000952701208525, 1.0000864379082097, 1.0000785857909673, 1.000071579224936, 1.000065276171776, 1.0000595270989983, 1.0000541749799623, 1.0000490773737523, 1.0000443470423366, 1.0000400235827502, 1.0000360926472587, 1.0000325376863646, 1.0000293399488074, 1.0000264784815625, 1.000023930129843, 1.000021669537098, 1.0000196691450138, 1.000017899193513, 1.000016327720755, 1.0000149205631361, 1.0000136413552894, 1.0000124515300843, 1.0000113103186272, -1
66, 1, 1, 0, 1.0, 0.7881449863656819, 0.8043613891956823, 0.8196206352144283, 0.8339359653090092, 0.8473268696724967, 0.8598188316398818, 0.8714433276880736, 0.8822367511782573, 0.89223704657941, 0.901483519492409, 0.9100162401832655, 0.9178760335171819, 0.9251044789585522, 0.9317439105709613, 0.9378360202273474, 0.9434181730925109, 0.9485264419435463, 0.9531956683266282, 0.9574594444334418, 0.9613501131011836, 0.9648987340711032, 0.9681335358799582, 0.9710793846957165, 0.9737597996959163, 0.9761970951570222, 0.978412380454425, 0.9804255600624416, 0.9822552727538004, 0.9839176694098618, 0.9854267248264287, 0.9867956272305091, 0.9880368362581172, 0.9891620829542737, 0.9901823697730053, 0.9911079692453223, 0.9919479299106307, 0.9927094955590117, 0.9933993628000105, 0.9940238906080993, 0.9945891003226754, 0.9951006756480626, 0.9955639626535104, 0.9959839697731944, 0.9963651070522493, 0.9967106158571403, 0.9970234200331547, 0.9973063252563282, 0.9975620189675741, 0.9977930703726837, 0.9980019304423258, 0.998190931912047, 0.998362289282272, 0.9985180049463812, 0.9986593661626442, 0.9987874322418113, 0.9989032436931452, 0.9990078169001149, 0.999102144120396, 0.9991871934858706, 0.9992639090026273, 0.9993332105509611, 0.9993959938853738, 0.9994531306345734, 0.9995053013674481, 0.9995527720639845, 0.9995958285210553, 0.9996347616999641, 0.999669866882063, 0.9997014436687535, 0.9997297959814857, 0.9997552320617588, 0.999778064471121, 0.9997986100911694, 0.9998171901235502, 0.9998341300899583, 0.99984975798744, 0.9998641958408649, 0.9998774202267449, 0.9998894677563384, 0.9999003821494871, 0.9999102142346156, 0.9999190219487315, 0.9999268703374253, 0.9999338315548707, 0.999939984863824, 0.9999454166356246, 0.9999502203501952, 0.999954496596041, 0.9999583530702505, 0.999961904578495, 0.9999652730350288, 0.9999685422011374, 0.9999715394562961, 0.9999742519898677, 0.999976704776855, 0.9999789215426245, 0.9999809247629066, 0.999982735663795, 0.9999843742217477, 0.9999858591635855, -1
67, 1, 1, 0, 1.0, 1.895915893068136, 1.74696402173506, 1.6310407991781701, 1.5386395673791855, 1.4636227737828635, 1.4017732007027306, 1.3501571391453908, 1.3066168653437573, 1.2695725624250958, 1.2378223098821557, 1.210426381078511, 1.1866633693096689, 1.1659552756960045, 1.1478282032150708, 1.1319027809282096, 1.1178721374090796, 1.105474342719342, 1.0944887166485426, 1.0847332333360575, 1.0760567315429073, 1.0683262991378297, 1.061426006728296, 1.0552565674312002, 1.0497354439333368, 1.0447907902021116, 1.0403578227778225, 1.0363787990584885, 1.032802995268081, 1.0295877496855368, 1.0266963919098215, 1.0240952849067924, 1.0217537229292666, 1.019643931517023, 1.0177411366790294, 1.0160247148600252, 1.014476942898412, 1.0130813355360506, 1.0118226022412486, 1.01068664720876, 1.0096605693597849, 1.008732852127532, 1.0078943345195817, 1.0071369924154945, 1.0064532582878103, 1.0058360187276147, 1.0052786144445391, 1.0047748402667604, 1.004318945141001, 1.0039059419341285, 1.0035321575889729, 1.0031942625390886, 1.0028890739446563, 1.0026135556925104, 1.0023648183961393, 1.0021401193956843, 1.0019368627579412, 1.0017525992763592, 1.00158527839476, 1.001433598841987, 1.0012963554696273, 1.001172374134644, 1.0010605117489177, 1.000959656279245, 1.0008687267473395, 1.0007866732298318, 1.0007124768582691, 1.0006451498191151, 1.0005837684715326, 1.0005278558424702, 1.0004770970304637, 1.0004311534511898, 1.000389683437199, 1.000352342237916, 1.0003187820196393, 1.0002886518655423, 1.000261597775672, 1.0002372626669493, 1.0002152863731701, 1.0001953056450037, 1.0001769541499939, 1.0001600067002085, 1.0001444868035296, 1.0001303467330964, 1.0001175307953962, 1.0001059759706736, 1.0000956119129307, 1.0000863609499269, 1.0000781380831785, 1.0000708509879597, 1.0000644000133023, 1.0000586781819947, 1.000053571190583, 1.000048957409371, 1.0000447078824195, 1.0000406863275468, 1.0000368324265512, 1.000033326955746, 1.0000301554014865, 1.000027285934715, 1.0000246894539544, -1
68, 1, 1, 0, 1.0, 1.3662389539386097, 1.3202223121768448, 1.2811796538954274, 1.247799444705269, 1.219052944828944, 1.1941584619111791, 1.172497530608392, 1.1535623642161552, 1.136945407050373, 1.1223198895250153, 1.1094085487596108, 1.0979773058445788, 1.0878327431396713, 1.0788154927382185, 1.0707860775753073, 1.0636227112412537, 1.057220985592042, 1.0514939411381656, 1.0463665842497325, 1.0417713339944135, 1.0376479399046654, 1.0339434459426167, 1.030613135751817, 1.0276188386603793, 1.0249256031616882, 1.0225015303101008, 1.020317773720947, 1.0183485922762905, 1.016572477199683, 1.014971025060437, 1.013527137327391, 1.0122249618961776, 1.0110498930892204, 1.0099885716557366, 1.0090290772334327, 1.0081619092941245, 1.0073787387187227, 1.006671714911719, 1.006033463306026, 1.0054570853629756, 1.0049361585723204, 1.0044647366809598, 1.004037708354484, 1.0036512818409815, 1.0033019906159428, 1.0029865236307887, 1.0027017253128694, 1.0024445955654657, 1.0022122897677885, 1.0020021187749786, 1.0018115499859304, 1.0016385403402084, 1.0014817525002655, 1.0013399218015178, 1.0012118176088907, 1.0010962433168191, 1.0009920363492468, 1.0008980681596265, 1.0008132442309206, 1.0007365040755998, 1.000666821235645, 1.000603279501324, 1.0005454547178678, 1.0004929981571864, 1.000445547579236, 1.0004027383179366, 1.0003642032811702, 1.0003295729507826, 1.0002984753825823, 1.0002705362063409, 1.0002453786257923, 1.0002226234186347, 1.0002018889365278, 1.0001827976411612, 1.0001652242659214, 1.0001491634316053, 1.0001345580681857, 1.000121343712664, 1.0001094485090691, 1.0000987932084586, 1.0000892911689188, 1.000080848355563, 1.000073363340534, 1.0000667273030024, 1.0000608240291666, 1.000055529912254, 1.0000507139525194, 1.0000462377572468, 1.0000419575325206, 1.0000379547141311, 1.0000343238917582, 1.000031037527489, 1.0000280685715244, 1.0000253904621779, 1.000022977125877, 1.000020802977162, 1.0000188429186863, 1.0000170723412172, 1.0000154671236343, 1.0000140036329317, -1
69, 1, 1, 0, 1.0, 0.3411081596771647, 0.3639271858610636, 0.3873752851707722, 0.4113566435487082, 0.4357667503062627, 0.46049260153739874, 0.48541854516221505, 0.5104183358853305, 0.5353612462064778, 0.5601233066434778, 0.5845873067554682, 0.6086427951429045, 0.6321860794475596, 0.6551202263525234, 0.6773550615822039, 0.698810563170781, 0.7194291055034824, 0.7391645935197008, 0.757981232278952, 0.7758536789241154, 0.7927670426814329, 0.8087168848605104, 0.8237092188543164, 0.837760510139183, 0.85089673657225, 0.863144285950479, 0.8745348825653925, 0.8851037610549932, 0.8948885783975197, 0.9039294139114463, 0.9122687692554832, 0.9199497183631923, 0.927012656755056, 0.9334973730891386, 0.9394428421948112, 0.9448872247665125, 0.9498678673637487, 0.9544211260657798, 0.9585799424792008, 0.9623743084110832, 0.9658328624864465, 0.9689829081228813, 0.971850413530549, 0.9744600117121818, 0.9768346277111695, 0.978993853636594, 0.9809555561212552, 0.9827366554543706, 0.9843531262099534, 0.9858199972468115, 0.987151351708548, 0.9883601455930907, 0.9894570709648868, 0.990451588293182, 0.9913526637916648, 0.9921687736113863, 0.992907903840762, 0.9935775505055704, 0.9941847195689536, 0.9947356220034816, 0.9952350193267283, 0.9956872290673721, 0.9960963722619455, 0.9964663734545393, 0.9968009606968025, 0.9971036655479423, 0.9973778230747243, 0.9976265638976161, 0.9978523774485922, 0.9980570416088583, 0.9982422480483446, 0.9984096338019373, 0.9985607812694788, 0.9986972182157676, 0.9988204177705587, 0.998931798428563, 0.9990327240494472, 0.9991244989213651, 0.9992080408170755, 0.9992838786665639, 0.9993525497161775, 0.9994145878971606, 0.9994705238256547, 0.9995208848026983, 0.9995661948142269, 0.9996069745310735, 0.9996437413089677, 0.9996770091885366, 0.9997072888953042, 0.9997350506326116, 0.9997603228050761, 0.9997832197318163, 0.9998039296144733, 0.9998226353403031, 0.9998395144821752, 0.9998547392985736, 0.9998684767335961, 0.9998808884169549, 0.9998921306639759, 0.9999023544755995, -1
70, 1, 1, 0, 1.0, 0.24346019072463654, 0.26234771456354555, 0.28215405332265325, 0.3028418421180063, 0.32436107723373786, 0.3466490945055346, 0.3696325809973276, 0.39322230300179906, 0.41731822672550895, 0.44181405191893225, 0.4665972118764586, 0.4915488734363923, 0.5165439369809526, 0.5414566927774042, 0.5661649478618825, 0.5905457721800829, 0.6144863856499558, 0.6378843418443664, 0.6606475279910936, 0.6826941649728309, 0.7039528073271855, 0.7243623432466793, 0.7438740108926285, 0.7624573455727343, 0.7800923974656888, 0.7967683464571645, 0.812483546497989, 0.8272455256041453, 0.8410709858567718, 0.8539857176503448, 0.8660193883281202, 0.8772046824148247, 0.8875777323962346, 0.8971766688204545, 0.9060416202979183, 0.9142147135013885, 0.9217394732035746, 0.9286567188667101, 0.935005835200028, 0.940825345571706, 0.9461528339557435, 0.9510249449319613, 0.9554773808337853, 0.9595436186652353, 0.963253217931618, 0.9666341210754972, 0.9697129534884156, 0.9725150235108941, 0.9750643224324327, 0.9773834834048212, 0.9794925106593154, 0.9814087478427562, 0.9831485428301044, 0.9847273483614878, 0.986159722042201, 0.9874593263427055, 0.9886389207751844, 0.9897096575591385, 0.9906807135542943, 0.9915606626419884, 0.9923576266539487, 0.9930792753722942, 0.9937328265295353, 0.9943250458085733, 0.9948622219921288, 0.9953495077364785, 0.9957910081569682, 0.9961906112956413, 0.9965520290836004, 0.9968787973410069, 0.9971742757770817, 0.9974416479901048, 0.9976839214674152, 0.9979038750457034, 0.998103500599963, 0.9982843528787814, 0.9984479419241855, 0.9985957314805675, 0.9987291389946846, 0.9988495356156597, 0.9989582461949807, 0.9990565492865013, 0.9991456771464401, 0.9992267998004908, 0.9993006530368095, 0.999367689450248, 0.9994283784568624, 0.9994831884632778, 0.9995325868666876, 0.9995770400548541, 0.9996170134061083, 0.9996529712893499, 0.999685377064047, 0.9997146930802366, 0.9997413806785245, 0.9997658733069327, 0.9997881499954517, 0.9998083065366841, 0.9998265443115011, 0.9998430474075158, -1
71, 1, 1, 0, 1.0, 1.5469361894020215, 1.4703984570837108, 1.4074029357969269, 1.3548806714504988, 1.3106165453058543, 1.2729922983241209, 1.2407583070817572, 1.2129663607926378, 1.1888755783498506, 1.1678847828967494, 1.1495173739497604, 1.133392280798984, 1.1191877684539866, 1.1066356403416484, 1.0955169186346891, 1.0856495308362049, 1.076874368266657, 1.069054313314695, 1.0620734989952796, 1.0558358414366087, 1.0502563119190294, 1.0452589792660811, 1.040776999029124, 1.0367527754674302, 1.03313837961481, 1.0298907986231587, 1.0269708094708345, 1.0243429789626581, 1.0219756609911095, 1.0198418432598397, 1.0179189157133526, 1.0161860698839018, 1.0146240574841126, 1.0132151904069808, 1.0119433407258733, 1.01079412286848, 1.0097559396839613, 1.0088186322381287, 1.007972655247871, 1.0072090728689715, 1.0065195586961084, 1.0058963957628548, 1.005332488823462, 1.004821971710753, 1.0043602754424132, 1.0039431172052105, 1.0035664236685837, 1.0032263309846445, 1.002919184788176, 1.0026415401966335, 1.0023901618101438, 1.0021621183637803, 1.0019553810756774, 1.0017682819375675, 1.001599201720647, 1.0014465742194993, 1.0013088862520947, 1.0011846776597892, 1.001072541307327, 1.000971123082838, 1.000879121897839, 1.000795359441646, 1.0007192048982847, 1.000650160726153, 1.000587720017233, 1.0005313780880472, 1.00048063247966, 1.000434982957678, 1.0003939315122485, 1.0003569823580607, 1.0003236419343453, 1.0002934189048747, 1.0002658241579625, 1.000240460584658, 1.0002172739187318, 1.0001961749324835, 1.0001770594401216, 1.0001598157820002, 1.0001443248246162, 1.0001304599606111, 1.0001180871087703, 1.0001070647140233, 1.0000972437474431, 1.0000884677062474, 1.0000805726137973, 1.0000733870195986, 1.0000667319993002, 1.000060446588254, 1.000054664017289, 1.0000494139776577, 1.0000446610479488, 1.0000403696174045, 1.000036503885921, 1.0000330278640464, 1.0000299053729833, 1.0000271000445868, 1.000024575321366, 1.0000222944564823, 1.0000202205137512, 1.0000183163676415, -1
72, 1, 1, 0, 1.0, 1.3997299745066532, 1.3484320742543185, 1.3051561423372422, 1.2683328365253026, 1.2367510320457809, 1.2095007897290566, 1.1858618470979507, 1.1652514754472234, 1.1472088665881777, 1.1313618469282174, 1.1173956702749106, 1.1050493522434313, 1.0941104453705535, 1.084400019132357, 1.075761753406804, 1.0680615098709805, 1.0611866962262686, 1.0550431367206743, 1.0495468275516366, 1.0446229842531398, 1.0402059956913539, 1.0362399238234423, 1.0326777688294753, 1.0294768970877624, 1.0265985154868358, 1.0240076714254502, 1.0216732906251296, 1.019569312547138, 1.017673407481255, 1.0159648990829597, 1.0144246927153275, 1.0130352754490304, 1.0117807159757568, 1.0106470657232096, 1.0096231474863744, 1.008698833400601, 1.0078646142144188, 1.0071115992895365, 1.0064315166008433, 1.0058167127364077, 1.0052602169121803, 1.004756532076738, 1.0043011434180467, 1.0038897650321053, 1.0035183242498358, 1.0031829616370829, 1.002880030994614, 1.0026060993581196, 1.0023579469982131, 1.0021328011474513, 1.0019287996134996, 1.001744258529413, 1.0015775480050795, 1.0014270925276791, 1.0012913709616829, 1.0011689165488522, 1.0010583169082408, 1.0009582140361926, 1.000867304306343, 1.0007845223503826, 1.0007093333940134, 1.0006412194956085, 1.0005796643457834, 1.00052415421574, 1.0004741779572657, 1.0004292270027346, 1.0003887953651067, 1.0003523796379281, 1.0003194789953311, 1.0002895951920343, 1.0002622330380322, 1.0002371134082138, 1.0002141919507679, 1.0001933662858755, 1.0001745265731328, 1.0001575555115496, 1.000142328339551, 1.000128712834976, 1.0001165693150789, 1.0001057506365276, 1.0000961021954053, 1.0000874619272093, 1.0000796603068518, 1.000072520348659, 1.0000658576063717, 1.000059579240693, 1.0000538259090939, 1.0000485861860768, 1.0000438366205506, 1.000039551571968, 1.0000357032103253, 1.0000322615161632, 1.0000291942805661, 1.0000264671051626, 1.0000240434021255, 1.000021884394171, 1.0000199491145598, 1.000018194407096, 1.0000165749261285, 1.0000150431365495, -1
73, 1, 1, 0, 1.0, 1.6424504001601699, 1.547813459142158, 1.471131346161146, 1.4080065028760462, 1.3553813669921377, 1.3110465964402291, 1.273352074784232, 1.2410711748082324, 1.2132404620027835, 1.189107783946036, 1.1680881321734515, 1.1497006012778814, 1.1335513160904396, 1.1193241715345639, 1.106758313751586, 1.095629415817117, 1.0857482610859555, 1.076958640414731, 1.0691291911438863, 1.0621436773673765, 1.0559004447555287, 1.0503121665579989, 1.0453062108146358, 1.0408189998651267, 1.0367930208138278, 1.0331768169489801, 1.029924972231801, 1.0269991163004828, 1.0243665268240931, 1.0219971508286865, 1.0198634533566384, 1.0179404174666469, 1.0162055590353443, 1.0146398406290067, 1.0132273622362495, 1.01195338484921, 1.010804187833696, 1.0097670689291853, 1.008830344248827, 1.007983379296494, 1.0072173970284546, 1.0065252325123277, 1.0059001623808896, 1.005335842894321, 1.0048263099402075, 1.0043659790335397, 1.0039496453167127, 1.0035725163999452, 1.003230851573219, 1.0029217345966177, 1.0026423857416005, 1.0023901425926611, 1.0021624600473278, 1.001956910316163, 1.0017711829227636, 1.001603084703761, 1.0014505440320902, 1.0013119801855452, 1.0011863763726265, 1.001072746397591, 1.0009701253901138, 1.000877569805288, 1.0007941574236257, 1.0007189873510565, 1.000651180018929, 1.00058987718401, 1.0005342419284844, 1.0004834763803938, 1.000437166062185, 1.0003950822244012, 1.0003569637236553, 1.0003225443702473, 1.0002915529281633, 1.0002637131150764, 1.000238743602347, 1.0002163580150218, 1.0001962649318348, 1.0001781678852066, 1.0001617653612445, 1.0001467507997426, 1.0001328353622263, 1.000120002316111, 1.00010825722843, 1.0000975688671172, 1.0000878990288942, 1.0000792025392717, 1.0000714272525486, 1.0000645140518123, 1.0000583968489392, 1.0000530025845937, 1.0000482512282292, 1.0000440557780867, 1.000040322261197, 1.0000369497333788, 1.0000338302792386, 1.0000308490121732, 1.0000279405034895, 1.0000252814957968, 1.000022875631579, 1.0000206987273697, -1
